tweet_id,author_id,created_at,text,parent_tweet_id
1676677,510019,Wed Oct 18 10:32:32 +0000 2017,"@AmazonHelp @AmazonHelp Order # 405-9747744-8241925 Check the mailbox for ""__email__"" And try calling the agent num you gav",1676675
2543910,382602,Thu Nov 16 13:33:47 +0000 2017,@AmazonHelp It's been the last week or so.,2543909
526148,241739,Sat Dec 02 06:59:06 +0000 2017,"@AmazonHelp one of the customer reps answer: (I do understand but as we all have the same system and we all do follow the same protocol.
So system is not allowing us for the shipping upgrade as well as he discounts.)",526146
1715659,119535,Tue Nov 07 04:17:29 +0000 2017,@AmazonHelp it is leading to your waste customer care service,1715657
1047962,367694,Sat Oct 14 19:49:55 +0000 2017,"@AmazonHelp No, I wasn't sure how to reach them. Thx for link. I'll try that next.",1047961
440239,140964,Tue Oct 24 10:27:39 +0000 2017,"@AmazonHelp Hurray I got ur valuable reply,  plz find the attached snap of reply.. #looteramazon https://t.co/QVYFF7IEPG",440240
2719392,763148,Mon Nov 20 08:35:31 +0000 2017,"@AmazonHelp C'était le 14 avant 22h, puis le 17 avant 22h et ensuite le 18 avant 22h et maintenant j'attends des ""informations complémentaires"" !",2719393
78682,133551,Fri Dec 01 12:23:44 +0000 2017,@AmazonHelp Well when I sent the message it stated 12 hours and before that when I called I was told I would get a call back within 2 hours it’s how well over 12 hours and I have had no contact,78681
1041247,366269,Sat Oct 28 11:16:31 +0000 2017,@AmazonHelp I need to know to status of my order.,1041246
2615096,739215,Fri Nov 17 14:20:45 +0000 2017,@AmazonHelp Ce matin à 10h alors que le colis était censé être livré aujourd'hui,2615094
1432232,452578,Thu Nov 02 16:10:28 +0000 2017,@AmazonHelp Merci. Bonne fin de journée.,1432231
2294193,511623,Fri Nov 10 19:04:20 +0000 2017,@AmazonHelp I gave you the order number. I can't imagine you don't have more information and historical information available to you than I do. It's UPS 1Z9763FA0203582109 and the delivery date had been Yesterday 11/10 It is marked as 2nd day air.,2294195
741555,297353,Wed Oct 11 15:13:23 +0000 2017,@AmazonHelp Yes. It's because @115821 sold my preorder on the Treasure Truck instead of sending it to people who pre ordered it!,741554
1390009,442795,Sun Oct 29 04:43:54 +0000 2017,@AmazonHelp It's a day 3 my product is out for delivery. But I didn't get any contact details of delivery agent. Plz help me with only contact no.,1390008
1317506,256157,Fri Oct 27 09:36:56 +0000 2017,@AmazonHelp Thank you to your online chat team for helping me sort this out my order should be dispatched today and arrive tomorrow before 1 o'clock,1317505
